year,province_slug,major_slug,school_slug,subject_slug,section_order,section_name,point_order,point_id,point_title,canonical_topic
2026,anhui,computer-science,hfnu,c-language,2,复合程序设计,1,hfnu-c-array,数组与字符串,c-language-array
2026,anhui,computer-science,hfnu,c-language,2,复合程序设计,2,hfnu-c-pointer,函数、指针与结构体,c-language-pointer
2026,anhui,computer-science,hfnu,data-structure,1,线性结构,1,hfnu-ds-linear,线性表、栈与队列,data-structure-linear
2026,anhui,computer-science,hfnu,data-structure,2,树与图,1,hfnu-ds-tree,树、二叉树与遍历,data-structure-tree
2026,anhui,computer-science,hfnu,data-structure,2,树与图,2,hfnu-ds-graph,图与图的遍历,data-structure-graph
2026,anhui,computer-science,hfnu,data-structure,3,查找与排序,1,hfnu-ds-search,查找和内部排序,data-structure-sort
2026,anhui,computer-science,hfue,c-language,1,C语言基础,1,hfue-c-basic,程序结构、算法、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,hfue,c-language,1,C语言基础,2,hfue-c-control,选择、循环与结构化程序设计,c-language-control
2026,anhui,computer-science,hfue,c-language,2,复合程序设计,1,hfue-c-array,数组、字符串与函数,c-language-array
2026,anhui,computer-science,hfue,c-language,2,复合程序设计,2,hfue-c-pointer,指针、结构体、链表与编译预处理,c-language-pointer
2026,anhui,computer-science,hfue,computer-basics,1,计算机系统,1,hfue-cs-system,数制、信息表示、硬件与软件系统,computer-basics
2026,anhui,computer-science,hfue,computer-basics,2,操作系统与办公应用,1,hfue-cs-office,操作系统、文件管理与办公套件,computer-office
2026,anhui,computer-science,hfue,computer-basics,3,网络与Web,1,hfue-cs-network,局域网、Internet、Web与社交媒体,network-basic
2026,anhui,computer-science,hfue,computer-basics,4,数据与新技术,1,hfue-cs-data-security,数据库、信息系统、新技术与计算机安全,computer-basics
2026,anhui,computer-science,hnnu,c-language,1,C语言基础,1,hnnu-c-basic,程序结构、算法、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,hnnu,c-language,1,C语言基础,2,hnnu-c-control,选择、循环与结构化程序设计,c-language-control
2026,anhui,computer-science,hnnu,c-language,2,复合程序设计,1,hnnu-c-array,数组、字符串、函数与递归,c-language-array
2026,anhui,computer-science,hnnu,c-language,2,复合程序设计,2,hnnu-c-pointer,指针、结构体、链表与自定义类型,c-language-pointer
2026,anhui,computer-science,hnnu,computer-basics,1,计算机基础,1,hnnu-cs-system,信息表示、系统组成与计算机安全,computer-basics
2026,anhui,computer-science,hnnu,computer-basics,2,操作系统与办公应用,1,hnnu-cs-office,Windows 10、Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,hnnu,computer-basics,3,计算机网络,1,hnnu-cs-network,OSI/TCP-IP、传输介质、IP与Internet服务,network-basic
2026,anhui,computer-science,hnnu,computer-basics,4,数据库基础,1,hnnu-cs-database,数据模型、Access对象与SQL基础,computer-basics
2026,anhui,computer-science,masu,c-language,1,C语言基础,1,masu-c-basic,程序结构、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,masu,c-language,1,C语言基础,2,masu-c-control,选择、循环与嵌套结构,c-language-control
2026,anhui,computer-science,masu,c-language,2,复合程序设计,1,masu-c-array,数组、字符串与函数,c-language-array
2026,anhui,computer-science,masu,c-language,2,复合程序设计,2,masu-c-pointer,指针、结构体、文件与编译预处理,c-language-pointer
2026,anhui,computer-science,masu,computer-basics,1,计算机基础,1,masu-cs-system,信息表示、计算机系统组成与信息安全,computer-basics
2026,anhui,computer-science,masu,computer-basics,2,操作系统与文件,1,masu-cs-os,Windows 7、文件与文件夹管理,computer-basics
2026,anhui,computer-science,masu,computer-basics,3,办公应用,1,masu-cs-office,Word 2010与Excel 2010,computer-office
2026,anhui,computer-science,masu,computer-basics,4,数据与网络,1,masu-cs-data-network,数据库基础与计算机网络组成,network-basic
2026,anhui,computer-science,slu,c-language,1,C语言基础,1,slu-c-basic,数据类型、运算与输入输出,c-language-basic
2026,anhui,computer-science,slu,c-language,1,C语言基础,2,slu-c-control,顺序、选择与循环结构,c-language-control
2026,anhui,computer-science,slu,c-language,2,复合程序设计,1,slu-c-array,数组与字符串,c-language-array
2026,anhui,computer-science,slu,c-language,2,复合程序设计,2,slu-c-pointer,函数、指针与复合类型,c-language-pointer
2026,anhui,computer-science,slu,computer-basics,1,计算机基础,1,slu-cs-system,计算机系统、数制编码与安全,computer-basics
2026,anhui,computer-science,slu,computer-basics,2,操作系统与办公软件,1,slu-cs-office,操作系统、Word、Excel与PowerPoint,computer-office
2026,anhui,computer-science,slu,computer-basics,3,网络基础,1,slu-cs-network,计算机网络与Internet基础,network-basic
2026,anhui,computer-science,wenda,c-language,1,C语言基础,1,wenda-c-basic,数据类型、变量与表达式,c-language-basic
2026,anhui,computer-science,wenda,c-language,1,C语言基础,2,wenda-c-control,分支与循环结构,c-language-control
2026,anhui,computer-science,wenda,c-language,2,复合程序设计,1,wenda-c-array,数组、函数与字符串,c-language-array
2026,anhui,computer-science,wenda,c-language,2,复合程序设计,2,wenda-c-pointer,指针与结构体,c-language-pointer
2026,anhui,computer-science,wenda,computer-network,1,计算机网络概述,1,wenda-net-model,网络体系结构与协议,network-basic
2026,anhui,computer-science,wenda,computer-network,2,数据通信与局域网,1,wenda-net-data,数据通信与介质访问,network-data
2026,anhui,computer-science,wenda,computer-network,3,网络层与传输层,1,wenda-net-ip,IP地址与路由,network-ip
2026,anhui,computer-science,wenda,computer-network,3,网络层与传输层,2,wenda-net-tcp,TCP与UDP,network-transport
2026,anhui,computer-science,wjut,c-language,1,C语言基础,1,wjut-c-basic,数据类型、运算与输入输出,c-language-basic
2026,anhui,computer-science,wjut,c-language,1,C语言基础,2,wjut-c-control,顺序、选择与循环结构,c-language-control
2026,anhui,computer-science,wjut,c-language,2,复合程序设计,1,wjut-c-array,数组、字符串与函数,c-language-array
2026,anhui,computer-science,wjut,c-language,2,复合程序设计,2,wjut-c-pointer,指针、结构体与文件,c-language-pointer
2026,anhui,computer-science,wjut,database,1,数据库基础,1,wjut-db-basic,数据库概念、数据模型与关系模型,database-basic
2026,anhui,computer-science,wjut,database,2,SQL语言,1,wjut-db-sql,数据定义、查询、更新与视图,database-sql
2026,anhui,computer-science,wjut,database,3,数据库保护,1,wjut-db-security,安全性、完整性与关系规范化,database-basic
2026,anhui,computer-science,wjut,database,4,数据库设计,1,wjut-db-design,需求分析、概念设计、逻辑设计与物理设计,database-design
2026,anhui,computer-science,ahjzu,computer-basics,1,计算机与数据表示,1,ahjzu-cs-system,计算机基础、数制转换与数据表示,computer-basics
2026,anhui,computer-science,ahjzu,computer-basics,1,计算机与数据表示,2,ahjzu-cs-hardware,硬件系统、处理器、存储与输入输出设备,computer-basics
2026,anhui,computer-science,ahjzu,computer-basics,2,操作系统与网络,1,ahjzu-cs-os,操作系统基础与Windows基本使用,computer-basics
2026,anhui,computer-science,ahjzu,computer-basics,2,操作系统与网络,2,ahjzu-cs-network,网络体系、局域网、IP地址与网络安全,network-basic
2026,anhui,computer-science,ahjzu,computer-basics,3,Web与数据库,1,ahjzu-cs-web,万维网、HTML、HTTP与网页设计基础,network-basic
2026,anhui,computer-science,ahjzu,computer-basics,3,Web与数据库,2,ahjzu-cs-database,数据库系统、数据模型与关系数据库基础,database-basic
2026,anhui,computer-science,ahjzu,computer-basics,3,Web与数据库,3,ahjzu-cs-sql,关系数据库与SQL查询语句基本使用,database-sql
2026,anhui,computer-science,ahjzu,c-language,1,程序设计基础,1,ahjzu-c-basic,C程序结构、算法、数据类型与输入输出,c-language-basic
2026,anhui,computer-science,ahjzu,c-language,1,程序设计基础,2,ahjzu-c-control,顺序、分支、循环与结构化程序设计,c-language-control
2026,anhui,computer-science,ahjzu,c-language,2,复合程序设计,1,ahjzu-c-array,数组、排序算法、函数与递归,c-language-array
2026,anhui,computer-science,ahjzu,c-language,2,复合程序设计,2,ahjzu-c-pointer,指针、自定义类型、单链表与文件操作,c-language-pointer
2026,anhui,computer-science,hfuu,computer-basics,1,计算机基础知识,1,hfuu-cs-system,计算机系统、数据表示、病毒防治与信息安全,computer-basics
2026,anhui,computer-science,hfuu,computer-basics,2,操作系统与办公应用,1,hfuu-cs-os,Windows操作系统、资源管理器与文件管理,computer-basics
2026,anhui,computer-science,hfuu,computer-basics,2,操作系统与办公应用,2,hfuu-cs-word,Word文档编辑、排版与打印,computer-office
2026,anhui,computer-science,hfuu,computer-basics,2,操作系统与办公应用,3,hfuu-cs-excel,Excel公式函数、数据处理与图表,computer-office
2026,anhui,computer-science,hfuu,computer-basics,2,操作系统与办公应用,4,hfuu-cs-powerpoint,PowerPoint编辑、设计、动画与放映,computer-office
2026,anhui,computer-science,hfuu,computer-basics,3,网络与Internet,1,hfuu-cs-network,计算机网络、Internet服务与电子邮件,network-basic
2026,anhui,computer-science,hfuu,c-language,1,C语言基础,1,hfuu-c-basic,数据类型、运算、输入输出与文件读写,c-language-basic
2026,anhui,computer-science,hfuu,c-language,1,C语言基础,2,hfuu-c-control,顺序、选择、循环与嵌套结构,c-language-control
2026,anhui,computer-science,hfuu,c-language,2,复合程序设计,1,hfuu-c-array,数组、字符串、函数与递归调用,c-language-array
2026,anhui,computer-science,hfuu,c-language,2,复合程序设计,2,hfuu-c-pointer,指针、结构体、共用体、枚举与链表,c-language-pointer
2026,anhui,computer-science,hfuu,c-language,3,数据结构与算法,1,hfuu-c-linear,线性表、链式存储、栈与队列,data-structure-linear
2026,anhui,computer-science,hfuu,c-language,3,数据结构与算法,2,hfuu-c-sort,二叉树、图、查找与排序基础,data-structure-sort
